ID,URL,Name,Author,Description,Scenario,Symptoms,Security Impact,Security Related Design,"""Pernicious Kingdom""",Root cause 1,Confidence 1,Root cause 2,Confidence 2,Root cause 3,Confidence 3,Consensus Value,Stage,Jasmine root cause analysis,Jasmine Reasoning,Alexander root cause analysis,Alexander Reasoning,FH Review
561,https://cwe.mitre.org/data/definitions/561.html,Dead Code,Xander,"The product contains dead code, which can never be executed.",Dead code is code that can never be executed in a running program. The surrounding code makes it impossible for a section of code to ever be executed.,undefined behavior,"quality degradation, reduce maintainability","bad coding practices, automated static analysis",Code quality,post completion error,medium,biased review,medium,,,,,,,Author,Author,Done; Agree
681,https://cwe.mitre.org/data/definitions/681.html,Incorrect Conversion between Numeric Types,Xander,"When converting from one data type to another, such as long to integer, data can be omitted or translated in a way that produces unexpected values. If the resulting values are used in a sensitive context, then dangerous behaviors may occur.",,undefined behavior,"unexpected state, quality degradation",automated static analysis,Code quality,lack of knowledge,high,strong but now wrong rule,medium,,,,,,,Author,Author,
431,https://cwe.mitre.org/data/definitions/431.html,Missing Handler,Xander,A handler is not available or implemented.,"When an exception is thrown and not caught, the process has given up an opportunity to decide if a given failure or event is worth a change in execution.",undefined behavior,,exception handling,Code quality,post completion error,medium,,,,,,,,,Author,Author,
353,https://cwe.mitre.org/data/definitions/353.html,Missing Support for Integrity Check,Xander,"The product uses a transmission protocol that does not include a mechanism for verifying the integrity of the data during transmission, such as a checksum.","If integrity check values or ""checksums"" are omitted from a protocol, there is no way of determining if data has been corrupted in transmission","undefined behavior, unauthorized data","corrupted data, corrupted transmission,","sufficient verification, data authenticity",input validation and representation,lack of knowledge,high,selectivity,medium,,,,,,,Author,Author,
563,https://cwe.mitre.org/data/definitions/563.html,Assignment to Variable without use,Xander,"The variable's value is assigned but never used, making it a dead store.","After the assignment, the variable is either assigned another value or goes out of scope. It is likely that the variable is simply vestigial, but it is also possible that the unused variable points to a bug.",undefined behavior,"quality degradation, dead store","bad coding practices, automated static analysis",Code quality,CM1: forgetting something has been done,high,post completion error,medium,,,,,,,Author,Author,
1108,https://cwe.mitre.org/data/definitions/1108.html,Excessive Reliance on Global Variables,Xander,"The code is structured in a way that relies too much on using or setting global variables throughout various points in the code, instead of preserving the associated information in a narrower, more local context.","This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",undefined behavior,"reduce maintainability, increase analytical complexity","automated static analysis, bad coding practices",Code quality,lack of knowledge,medium,strong but now wrong rule,high,,,,,,,Author,Author,
804,https://cwe.mitre.org/data/definitions/804.html,Guessable CAPTCHA,Xander,"The product uses a CAPTCHA challenge, but the challenge can be guessed or automatically recognized by a non-human actor.","An automated attacker could bypass the intended protection of the CAPTCHA challenge and perform actions at a higher frequency than humanly possible, such as launching spam attacks.",Security Threat,bypass protection mechanism,sufficient authentication,Security Features,strong but now wrong ,medium,lack of knowledge,medium,,,,,,,Author,Author,
1071,https://cwe.mitre.org/data/definitions/1071.html,Empty Code Block,Xander,"The source code contains a block that does not contain any code, i.e., the block is empty.","Empty code blocks can occur in the bodies of conditionals, function or method definitions, exception handlers, etc. While an empty code block might be intentional, it might also indicate incomplete implementation, accidental code deletion, unexpected macro expansion, etc.",undefined behavior,"reduce reliability, irrelevant code","bad coding practices, automated static analysis",Code quality,post completion error,high,selectivity,medium,O1: lack of security requirements,high,,,,,Author,Author,
654,https://cwe.mitre.org/data/definitions/654.html,Reliance on a single factor in a Security Decision,Xander,"A protection mechanism relies exclusively, or to a large extent, on the evaluation of a single condition or the integrity of a single object or entity in order to make a decision about granting access to restricted resources or functionality.",Password-only authentication is perhaps the most well-known example of use of a single factor. Anybody who knows a user's password can impersonate that user.,Security Threat,"gain privileges, assume identity","bad coding practices, secure design principles",Security Features,O1 lack of security requirements,high,biased review,medium,,,,,,,Author,Author,
547,https://cwe.mitre.org/data/definitions/547.html,"Use of hard-coded, Security-relevant Constants",Xander,"The product uses hard-coded constants instead of symbolic names for security-critical values, which increases the likelihood of mistakes during code maintenance or security policy change.","If the developer does not find all occurrences of the hard-coded constants, an incorrect policy decision may be made if one of the constants is not changed. Making changes to these values will require code changes that may be difficult or impossible once the system is released to the field. In addition, these hard-coded values may become available to attackers if the code is ever disclosed.",Security Threat,"quality degradation, reduce maintainability","bad coding practices,",Security Features,O1 lack of security requirements,high,biased review,medium,post completion error,medium,,,,,Author,Author,
1116,https://cwe.mitre.org/data/definitions/1116.html,Inaccurate Comments,Xander,The source code contains comments that do not accurately describe or explain aspects of the portion of the code with which the comment is associated.,"When a comment does not accurately reflect the associated code elements, this can introduce confusion to a reviewer (due to inconsistencies) or make it more difficult and less efficient to validate that the code is implementing the intended behavior correctly.",undefined behavior,"reduce maintainability, increase analytical complexity",bad coding practices,Code quality,post completion error,high,biased review,medium,,,,,,,Author,Author,
1089,https://cwe.mitre.org/data/definitions/1089.html,Large Data Table with Excessive Number of Indices,Xander,The product uses a large data table that contains an excessively large number of indices.,"This issue can make the product perform more slowly. If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",Security Threat,"reduce performance, irrelevant code",bad coding practices,Code quality,strong but now wrong ,high,post completion error,medium,,,,,,,Author,Author,
364,https://cwe.mitre.org/data/definitions/364.html,Signal Handler Race Condition,Xander,"Race conditions frequently occur in signal handlers, since signal handlers support asynchronous actions. These race conditions have a variety of root causes and symptoms.","Attackers may be able to exploit a signal handler race condition to cause the product state to be corrupted, possibly leading to a denial of service or even code execution.",Security Threat,"race condition, modify application data, modify memory, system crash, system restart, execute unauthorized code, gain privileges, assume identity","automated static analysis, language selection, synchronization, flags",Security Features,O1 lack of security requirements,high,lack of knowledge,medium,,,,,,,Author,Author,
366,https://cwe.mitre.org/data/definitions/366.html,Race Condition within a Thread,Xander,"If two threads of execution use a resource simultaneously, there exists the possibility that resources may be used while invalid, in turn making the state of execution undefined.","Two threads write to the same file without regard to each other, with one overwriting some data written by the other.",unauthorized data,"alter execution logic, unexpected state","locking functionality, resource-locking validation checks, flags, signals, automated static analysis",Code quality,lack of knowledge,high,,,,,,,,,Author,Author,
426,https://cwe.mitre.org/data/definitions/426.html,Untrusted Search Path,Xander,The product searches for critical resources using an externally-supplied search path that can point to resources that are not under the product's direct control.,"This might allow attackers to execute their own programs, access unauthorized data files, or modify configuration in unexpected ways. If the product uses a search path to locate critical resources such as programs, then an attacker could modify that search path to point to a malicious program, which the targeted product would then execute.",Security Threat,"gain privileges, assume identity, execute unauthorized code, system crash, system restart, read files, read directories","attack surface reduction, file handling, authorize actors, black box method, automated static analysis",Code quality,strong but now wrong ,medium,O1: lack of security requirements,high,,,,,,,,,
47,https://cwe.mitre.org/data/definitions/47.html,path equivalence: 'filename' (leading space),Jasmine,"The product accepts path input in the form of leading space (' filedir') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",An input for a pathname is required but no check for the appropriate pathname is checked for.,undefined behavior,"read files, read directories, modify files, modify directories",file processing,input validation and representation,lack of knowledge,high,lack of security requirements ,medium,,,,,,,,,
173,https://cwe.mitre.org/data/definitions/173.html,improper handling of alternate encoding,Jasmine,The product accepts an alternate form of encoding but does not account for this alternatve form when processing input.,input of of UTF-16 is used instead of the common UTF-8 format that the program only accounts for.,undefined behavior,"bypass protection mechanism, encoding error","input validation, output encoding",input validation and representation,lack of knowledge,high,lack of security requirements ,medium,,,,,,,,,
522,https://cwe.mitre.org/data/definitions/522.html,Insufficiently Protected Credentials,Jasmine,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."," the code confirms that the requesting user typed the same new password twice, it does not confirm that the user requesting the password change is the same user whose password will be changed.",Security Threat,"gain privileges, assume identity","secure method, cryptography, automated static analysis",API abuse,lack of security requirements ,high,biased review,medium ,,,,,,,,,
5,https://cwe.mitre.org/data/definitions/5.html,Misconfiguration: Data Transmission Without Encryption,Jasmine,Information sent over a network can be compromised while in transit.,An attacker may be able to read or modify the contents if the data are sent in plaintext or are weakly encrypted.,Security Threat,"read application data, modify application data","secure transport, secure encryption, system configuration",Enviornment,lack of security requirements ,medium,,,,,,,,,,,
38,https://cwe.mitre.org/data/definitions/38.html,Path Traversal: '\absolute\pathname\here',Jasmine,"The product accepts input in the form of a backslash absolute path ('\absolute\pathname\here') without appropriate validation, which can allow an attacker to traverse the file system to unintended locations or access arbitrary files.","A program using a directory path does not treat all inputs as possibly mallicious, therefore, the program does not account for the pathname to start from the root.","Security Threat, undefined behavior","read files, read directories, modify files, modify directories","input validation, automated static analysis",Code quality,lack of security requirements ,high,biased review ,high,,,,,,,,,
52,https://cwe.mitre.org/data/definitions/52.html,Path Equivalence: '/multiple/trailing/slash//',Jasmine,"The product accepts path input in the form of multiple trailing slash ('/multiple/trailing/slash//') without appropriate validation, which can lead to ambiguous path resolution.",Can allow an attacker to traverse the file system to unintended locations or access arbitrary files.,"Security Threat, undefined behavior","read files, modify files, modify directories",input validation,input validation and representation,lack of security requirements ,high,biased review,high,,,,,,,,,
56,https://cwe.mitre.org/data/definitions/56.html,Path Equivalence: 'filedir*' (Wildcard),Jasmine,"The product accepts path input in the form of asterisk wildcard ('filedir*') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.","The program requires input from user, rather than a safe pathname be inputted, an unaccounted for pathname using the wildcard character exposes the system to potentially harmful consequences.","Security Threat, undefined behavior","read files, read directories, modify files, modify directories","input validation, neutralization",input validation and representation,lack of security requirements ,high,biased review,high,,,,,,,,,
57,https://cwe.mitre.org/data/definitions/57.html,Path Equivalence: 'fakedir/../realdir/filename',Jasmine,"The product contains protection mechanisms to restrict access to 'realdir/filename', but it constructs pathnames using external input in the form of 'fakedir/../realdir/filename' that are not handled by those mechanisms. This allows attackers to perform unauthorized actions against the targeted file.","The program requires a pathname as an input, but inproper directory traversal checks are set up in program, leading to a user traversing to unauthorized locations.","Security Threat, undefined behavior","read files, read directories, modify files, modify directories",input validation,input validation and representation,lack of security requirements ,high,biased review,high,,,,,,,,,
107,,Struts: Unused Validation Form,Jasmine,An unused validation form indicates that validation logic is not up-to-date. It is easy for developers to forget to update validation logic when they remove or rename action form mappings. One indication that validation logic is not being properly maintained is the presence of an unused validation form.,,Security Threat,quality degradation,"input validation, bad coding practices",Code quality,forgetting something has been done ,medium,,,,,,,,,,,
127,https://cwe.mitre.org/data/definitions/127.html,Buffer Under-read,Jasmine,The product reads from a buffer using buffer access mechanisms such as indexes or pointers that reference memory locations prior to the targeted buffer.,A pogrammer writes a pointer to a place where the accessed memory is located before where the stored memory acually is.,"system crash, undefined behavior","read memory, bypass protection mechanism, system crash","automated static analysis, memory management",Code quality,Perceptual confusions,medium,confirmation bias,medium e,,,,,,,,,
145,https://cwe.mitre.org/data/definitions/145.html,Improper Neutralization of Section Delimiters,Jasmine,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as section delimiters when they are sent to a downstream component.","One example of a section delimiter is the boundary string in a multipart MIME message. In many cases, doubled line delimiters can serve as a section delimiter.","undefined behavior, security threat",unexpected state,"neutralization, input validation, output encoding",input validation and representation,lack of security requirements ,high,biased review,medium,,,,,,,,,
347,https://cwe.mitre.org/data/definitions/347.html,Improper Verification of Cryptographic Signature,Jasmine,"The product does not verify, or incorrectly verifies, the cryptographic signature for data.",An attacker takes advantage of this weakpooint in cryptographic signatures to obtain data that is not theirs.,"Security Threat, undefined behavior","gain privileges, assume identity, execute unauthorized code","automated static analysis, cryptography",Security Features,selectivity,medium,biased review,medium,lack of security requirenments ,low,,,,,,,
349,https://cwe.mitre.org/data/definitions/349.html,Acceptance of Extraneous Untrusted Data With Trusted Data,Jasmine,"The product, when processing trusted data, accepts any untrusted data that is also included with the trusted data, treating the untrusted data as if it were trusted.",An attacker packages untrusted data with trusted data to bypass protection mechanism to gain access to and possibly modify sensitive data.,"Security Threat, undefined behavior","bypass protection mechanism, modify application data","data verification, input validation",input validation and representation,biased review ,high,lack of security requirements ,medium,,,,,,,,,
510,https://cwe.mitre.org/data/definitions/510.html,Trapdoor,Jasmine,"A trapdoor is a hidden piece of code that responds to a special input, allowing its user access to resources without passing through the normal security enforcement mechanism.",An attacker would have unknown capabilities if they are able to bypass through into this trapdoor area of the program.,"Security Threat, undefined behavior","execute unauthorized code, bypass protection mechanism","installation integrity, automated static analysis",Security Features,lack of security requirements ,high,lack of knowledge,high,,,,,,,,,
577,https://cwe.mitre.org/data/definitions/577.html,EJB Bad Practices: Use of Sockets,Jasmine,"The Enterprise JavaBeans specification requires that every bean provider follow a set of programming guidelines designed to ensure that the bean will be portable and behave consistently in any EJB container. In this case, the product violates the following EJB guideline: ""An enterprise bean must not attempt to listen on a socket, accept connections on a socket, or use a socket for multicast."" The specification justifies this requirement in the following way: ""The EJB architecture allows an enterprise bean instance to be a network socket client, but it does not allow it to be a network server. Allowing the instance to become a network server would conflict with the basic function of the enterprise bean-- to serve the EJB clients.""","a simple stateless Enterprise JavaBean  retrieves stock symbols and stock values. The Enterprise JavaBean creates a socket and listens for and accepts connections from clients on the socket. This violates the EJB specification by attempting to listen on a socket, accepting connections on a socket, or using a socket for multicast.",undefined behavior,quality degradation,ejb guidelines,API abuse,lack of knowledge,high,,,,,,,,,,,
614,https://cwe.mitre.org/data/definitions/614.html,Sensitive Cookie in HTTPS Session Without 'Secure' Attribute,Jasmine,The Secure attribute for sensitive cookies in HTTPS sessions is not set.,Attackers could retrieve unsecure cookies from users.,security threat,read application data,secure attributes,Security Features,lack of knowledge,medium,biased review,medium e,,,,,,,,,
684,https://cwe.mitre.org/data/definitions/684.html,Incorrect Provision of Specified Functionality,Jasmine,"When providing functionality to an external party, it is important that the product behaves in accordance with the details specified. When requirements of nuances are not documented, the functionality may produce unintended behaviors for the caller, possibly leading to an exploitable state.",an HTTP 404 status code is returned in the event of an IOException encountered in a Java servlet. A 404 code is typically meant to indicate a non-existent resource and would be somewhat misleading in this case.,"Security Threat, undefined behavior","quality degradation, behavioral problems, exploitable state",coding standards,API abuse,lack of knowledge,high,,,,,,,,,,,
1004,https://cwe.mitre.org/data/definitions/1004.html,Sensitive Cookie Without 'HttpOnly' Flag,Jasmine,"The product uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag.", cookie is used to store a session ID for a client's interaction with a website. The intention is that the cookie will be sent to the website with each request made by the client. The HttpOnly flag is not set for the cookie. An attacker who can perform XSS could insert malicious script.,,"gain privileges, assume identity, read application data",automated static analysis,,lack of security requirements ,high ,,,,,,,,,,,
1007,https://cwe.mitre.org/data/definitions/1007.html,Insufficient Visual Distinction of Homoglyphs Presented to User,Jasmine,"The product displays information or identifiers to a user, but the display mechanism does not make it easy for the user to distinguish between visually similar or identical glyphs (homoglyphs), which may cause the user to misinterpret a glyph and perform an unintended, insecure action.","a simple, trusted URL that a user may frequently access. However, the URL is comprised of Cyrillic characters that look identical to the expected ASCII characters. This results in most users not being able to distinguish between the two and assuming that the above URL is trusted and safe. The ""e"" is actually the ""CYRILLIC SMALL LETTER IE"" which is represented in HTML as the character &#x435, while the ""a"" is actually the ""CYRILLIC SMALL LETTER A"" which is represented in HTML as the character &#x430. The ""p"", ""c"", and ""o"" are also Cyrillic characters in this example. Viewing the source reveals a URL of ""http://www.&#x435;x&#x430;m&#x440;l&#x435;.&#x441;&#x43e;m"". An adversary can utilize this approach to perform an attack such as a phishing attack in order to drive traffic to a malicious website.",,Integrity,User interface,,lack of security requirements ,high,,,,,,,,,,,
400,https://cwe.mitre.org/data/definitions/400,Uncontrolled Resource Consumption,Keagan,Incorrect management of a limited resource allowing them to be maliciously allocated or consumed by attackers. The 3 scenarios that commonly lead to this are:  1.) Lack of throttling for the number of allocated resources 2.) Losing all references to a resource before reaching the shutdown stage  3.) Not closing/returning a resource after processing,"The developer may inadequately grasp the scale of their product and how many resources a user could consume, or they may improperly implement the mechanisms that prevent overconsumption of resources.  


Freeing a resource is often times the last step of a task, so it is possible that programmers devote more attention to the steps prior and then forget the last step.",Process slow-down,"cross-site scripting, log forgery","punycode, filtering",,rule deficiencies,Medium,biased review,Medium,post completion,Medium,biased review,Coding,,,,,
362,https://cwe.mitre.org/data/definitions/362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Keagan,Shared resources can be modified by different code sequences running concurrently.,Typically originates from race conditions which occur when a program or part of a program forgets to implement exclusivity and atomicity.,,"resource consumption, system crash, system restart, read files, read directories, read application data, execute unauthorized code, gain privileges","environment hardening, synchronization",Time and State,poor tools,Low,rule deficiencies,Medium,biased review,Low,rule deficiencies,Coding,,,,,
